Case Number,Defendant's Name,Offence Date,Local Authority,Main Activity,Time-st
4666102,A & S Metal Recycling Limited,09/08/2019,Wyre Forest,38110 - COLLECTION NON-HAZARDOUS WASTE,2022-05-05 16:11:08.242015+00:00
4670181,A E S (Roofing Contractors) Limited,04/02/2020,Worcester,43910 - ROOFING ACTIVITIES,2022-05-05 16:11:08.242015+00:00
4645492,Alfaplas Limited,29/01/2019,Herefordshire UA,18129 - PRINTING NOT NEWSPPR/LABEL/TAG,2022-05-05 16:11:08.242015+00:00
4635742,Anytime Concrete (GB) Ltd,28/03/2019,Sandwell,23510 - MANUFACTURE OF CEMENT,2022-05-05 16:11:08.242015+00:00
4624766,Bakkavor Fresh Cook Ltd,27/06/2018,East Lindsey,10850 - MF PREPARED MEALS AND DISHES,2022-05-05 16:11:08.242015+00:00
4587963,Beeswax Dyson Farming Limited,12/04/2018,North Kesteven,64201 - AGRICULTURAL HOLDING COMPANIES,2022-05-05 16:11:08.242015+00:00
4605712,Belfield Furnishings Limited,17/05/2017,Erewash,13921 - MANUFACTURE SOFT FURNISHINGS,2022-05-05 16:11:08.242015+00:00
4670945,Bobby Oldham Construction Ltd,19/06/2019,Chesterfield,41202 - CONSTRUCTION DOMESTIC BLDGS,2022-05-05 16:11:08.242015+00:00
4594996,Cruickshank Motors Ltd,15/03/2018,West Northamptonshire,45200 - MVR,2022-05-05 16:11:08.242015+00:00
4629809,Custom Insulation Ltd,07/08/2018,East Staffordshire,22290 - MF OF OTHER PLASTIC PRODUCTS,2022-05-05 16:11:08.242015+00:00
4706134,Cutting Edge Trading Limited,02/09/2019,Sandwell,32990 - OTHER MANUFACTURING NEC,2022-05-05 16:11:08.773015+00:00
4625664,D P M Industrial Roofing (UK) Ltd,01/03/2017,Stoke-on-Trent,43910 - ROOFING ACTIVITIES,2022-05-05 16:11:08.773015+00:00
4620860,Damasco UK Limited,23/04/2019,South Kesteven,17219 - MF PAPER/PPRBRD CONTAINERS NEC,2022-05-05 16:11:08.773015+00:00
4636638,Empire Capital (Derbyshire) Limited,12/09/2017,Amber Valley,41100 - DEVELOPMENT BUILDING PROJECTS,2022-05-05 16:11:08.773015+00:00
