Notice Number,Recipient's Name,Notice Type,Issue Date,Local Authority,Main Activity,Time-st
312380473,Nord Chips Products Ltd,Improvement Notice,25/03/2022,North Tyneside,PAINT/VARNISH/MASTIC/SEALANT,2022-05-05 16:15:24.406381+00:00
312380511,Nord Chips Products Ltd,Improvement Notice,25/03/2022,North Tyneside,PAINT/VARNISH/MASTIC/SEALANT,2022-05-05 16:15:24.406381+00:00
312380743,Wildjacks Property Limited,Improvement Notice,25/03/2022,North Kesteven,CONSTRUCTION DOMESTIC BLDGS,2022-05-05 16:15:24.406381+00:00
312382479,Woodsett Homes Limited,Improvement Notice,25/03/2022,Rotherham,DEVELOPMENT BUILDING PROJECTS,2022-05-05 16:15:24.406381+00:00
312382576,Steel Beams Ltd,Improvement Notice,25/03/2022,Havering,MF METAL (PARTIAL) STRUCTURES,2022-05-05 16:15:24.406381+00:00
312382604,Steel Beams Ltd,Improvement Notice,25/03/2022,Havering,MF METAL (PARTIAL) STRUCTURES,2022-05-05 16:15:24.406381+00:00
312382619,Steel Beams Ltd,Improvement Notice,25/03/2022,Havering,MF METAL (PARTIAL) STRUCTURES,2022-05-05 16:15:24.406381+00:00
312382959,Duncan Telfer,Prohibition Notice Immediate,25/03/2022,West Suffolk,INSTALL PLUMB/HEAT/AIR-CON,2022-05-05 16:15:24.406381+00:00
312383078,Nuts In Bulk Limited,Improvement Notice,25/03/2022,Knowsley,GRAIN/TBACCO/SEEDS/ANIMAL FEED,2022-05-05 16:15:24.406381+00:00
312383207,ADL Joinery Ltd,Prohibition Notice Immediate,25/03/2022,Newark & Sherwood,BUILDERS CARPENTRY/JOINERY NEC,2022-05-05 16:15:24.406381+00:00
312384869,Commodore Kitchens Limited,Improvement Notice,25/03/2022,Thurrock UA,SAWMILLING AND PLANING OF WOOD,,,2022-05-05 16:15:25.242052+00:00
312389500,Symmetry Medical Sheffield Ltd,Improvement Notice,25/03/2022,Sheffield,MEDICAL/DENTAL INSTRMNT/SUPPLY,,,2022-05-05 16:15:25.242052+00:00
312390023,Oasis Event Door Limited,Improvement Notice,25/03/2022,Scarborough,OTHER MANUFACTURING NEC,,,2022-05-05 16:15:25.242052+00:00
312391556,Smart-Tab Products Limited,Improvement Notice,25/03/2022,Bath & NE Somerset,PRINTING NOT NEWSPPR/LABEL/TAG,,,2022-05-05 16:15:25.242052+00:00
312392653,Robert Gutteres,Improvement Notice,25/03/2022,Rochdale,DEVELOPMENT BUILDING PROJECTS,,,2022-05-05 16:15:25.242052+00:00
312392692,K Two Sales Limited,Improvement Notice,25/03/2022,Buckinghamshire,AGRI/FORESTRY M/C NOT TRACTOR,,,2022-05-05 16:15:25.242052+00:00
312392746,K Two Sales Limited,Improvement Notice,25/03/2022,Buckinghamshire,AGRI/FORESTRY M/C NOT TRACTOR,,,2022-05-05 16:15:25.242052+00:00
312392864,K Two Sales Limited,Improvement Notice,25/03/2022,Buckinghamshire,AGRI/FORESTRY M/C NOT TRACTOR,,,2022-05-05 16:15:25.242052+00:00
312397052,North West Precision Limited,Improvement Notice,25/03/2022,Wirral,MF OF OTHER MACHINE TOOLS,,,2022-05-05 16:15:25.242052+00:00
312397083,North West Precision Limited,Improvement Notice,25/03/2022,Wirral,MF OF OTHER MACHINE TOOLS,,,2022-05-05 16:15:25.242052+00:00
312397116,North West Precision Limited,Improvement Notice,25/03/2022,Wirral,MF OF OTHER MACHINE TOOLS,,,2022-05-05 16:15:26.087867+00:00
312401633,Gatemasters (Midlands) Ltd,Improvement Notice,25/03/2022,Walsall,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:26.087867+00:00
