Notice Number,Recipient's Name,Notice Type,Issue Date,Local Authority,Main Activity,Time-st
312401741,Morrison and Taylor,Improvement Notice,25/03/2022,Aberdeenshire UA,BUILDERS CARPENTRY/JOINERY NEC,2022-05-05 16:15:08.328537+00:00
312401873,Morrison and Taylor,Improvement Notice,25/03/2022,Aberdeenshire UA,BUILDERS CARPENTRY/JOINERY NEC,2022-05-05 16:15:08.328537+00:00
312369869,CNR International (U.K.) Limited,Improvement Notice,24/03/2022,Aberdeen City UA,OIL/ GAS EXTRACTION SUPPORT,2022-05-05 16:15:08.328537+00:00
312373923,Modern Homes Scotland Limited,Improvement Notice,23/03/2022,North Lanarkshire UA,CONSTRUCTION DOMESTIC BLDGS,2022-05-05 16:15:08.328537+00:00
312373972,Modern Homes Scotland Limited,Improvement Notice,23/03/2022,North Lanarkshire UA,CONSTRUCTION DOMESTIC BLDGS,2022-05-05 16:15:08.328537+00:00
312374021,Modern Homes Scotland Limited,Improvement Notice,23/03/2022,North Lanarkshire UA,CONSTRUCTION DOMESTIC BLDGS,2022-05-05 16:15:08.328537+00:00
312374053,Modern Homes Scotland Limited,Improvement Notice,23/03/2022,North Lanarkshire UA,CONSTRUCTION DOMESTIC BLDGS,2022-05-05 16:15:08.328537+00:00
312393138,J & D Pierce (Contracts) Ltd.,Improvement Notice,23/03/2022,South Lanarkshire UA,MF METAL (PARTIAL) STRUCTURES,2022-05-05 16:15:08.328537+00:00
312401667,Morrison and Taylor,Prohibition Notice Immediate,23/03/2022,Aberdeenshire UA,BUILDERS CARPENTRY/JOINERY NEC,2022-05-05 16:15:08.328537+00:00
312369786,ESR UK (Group) Ltd,Improvement Notice,21/03/2022,Aberdeenshire UA,METAL TANK/RESERVOIR/CONTAINER,2022-05-05 16:15:08.328537+00:00
312369841,ESR UK (Group) Ltd,Improvement Notice,21/03/2022,Aberdeenshire UA,METAL TANK/RESERVOIR/CONTAINER,,,2022-05-05 16:15:08.843822+00:00
312369848,ESR UK (Group) Ltd,Improvement Notice,21/03/2022,Aberdeenshire UA,METAL TANK/RESERVOIR/CONTAINER,,,2022-05-05 16:15:08.843822+00:00
312369855,ESR UK (Group) Ltd,Improvement Notice,21/03/2022,Aberdeenshire UA,METAL TANK/RESERVOIR/CONTAINER,,,2022-05-05 16:15:08.843822+00:00
312369987,ARR Craib Transport Limited,Improvement Notice,21/03/2022,Aberdeen City UA,FREIGHT TRANSPORT BY ROAD,,,2022-05-05 16:15:08.843822+00:00
312370035,ARR Craib Transport Limited,Improvement Notice,21/03/2022,Aberdeen City UA,FREIGHT TRANSPORT BY ROAD,,,2022-05-05 16:15:08.843822+00:00
312374919,Calder Motor Company Limited,Prohibition Notice Immediate,18/03/2022,West Lothian UA,MVR,,,2022-05-05 16:15:08.843822+00:00
312359688,MacArtney UK Limited,Improvement Notice,17/03/2022,Aberdeen City UA,ELECTRIC MOTER/GEN/TRANSFORMER,,,2022-05-05 16:15:08.843822+00:00
312355795,Fraser Dodd,Improvement Notice,16/03/2022,South Lanarkshire UA,BUILDERS CARPENTRY/JOINERY NEC,,,2022-05-05 16:15:08.843822+00:00
312355845,Fraser Dodd,Improvement Notice,16/03/2022,South Lanarkshire UA,BUILDERS CARPENTRY/JOINERY NEC,,,2022-05-05 16:15:08.843822+00:00
312356314,Mansion Kingdom Homes Limited,Improvement Notice,16/03/2022,South Lanarkshire UA,CONSTRUCTION DOMESTIC BLDGS,,,2022-05-05 16:15:08.843822+00:00
312356351,Mansion Kingdom Homes Limited,Improvement Notice,16/03/2022,South Lanarkshire UA,CONSTRUCTION DOMESTIC BLDGS,,,2022-05-05 16:15:09.376556+00:00
312357173,Thistly Cross Cider Co Limited,Improvement Notice,16/03/2022,East Lothian UA,MF CIDER AND OTHER FRUIT WINES,,,2022-05-05 16:15:09.376556+00:00
312351079,Drumclog Plant Limited,Improvement Notice,15/03/2022,South Lanarkshire UA,BUSINESS SUPPORT SERVICE NEC,,,2022-05-05 16:15:09.376556+00:00
312351806,Reid Wire Limited,Improvement Notice,15/03/2022,Glasgow UA,"MF WIRE PROD, CHAIN/SPRINGS",,,2022-05-05 16:15:09.376556+00:00
312352120,Reid Wire Limited,Improvement Notice,15/03/2022,Glasgow UA,"MF WIRE PROD, CHAIN/SPRINGS",,,2022-05-05 16:15:09.376556+00:00
