Notice Number,Recipient's Name,Notice Type,Issue Date,Local Authority,Main Activity,Time-st
312388085,Landscapes For Learning Limited,Improvement Notice,25/03/2022,Caerphilly UA,JOINERY INSTALLATION,2022-05-05 10:43:11.232017+00:00
312388113,Landscapes For Learning Limited,Improvement Notice,25/03/2022,Caerphilly UA,JOINERY INSTALLATION,2022-05-05 10:43:11.232017+00:00
312373769,Erfan Mahmoud,Improvement Notice,23/03/2022,Blaenau Gwent UA,MVR,2022-05-05 10:43:11.232017+00:00
312381217,B.P.M Engineering Limited,Improvement Notice,23/03/2022,Swansea UA,MF FABRICATED METAL PROD NEC,2022-05-05 10:43:11.232017+00:00
312381229,B.P.M Engineering Limited,Improvement Notice,23/03/2022,Swansea UA,MF FABRICATED METAL PROD NEC,2022-05-05 10:43:11.232017+00:00
312381247,B.P.M Engineering Limited,Improvement Notice,23/03/2022,Swansea UA,MF FABRICATED METAL PROD NEC,2022-05-05 10:43:11.232017+00:00
312381268,B.P.M Engineering Limited,Improvement Notice,23/03/2022,Swansea UA,MF FABRICATED METAL PROD NEC,2022-05-05 10:43:11.232017+00:00
312381295,B.P.M Engineering Limited,Improvement Notice,23/03/2022,Swansea UA,MF FABRICATED METAL PROD NEC,2022-05-05 10:43:11.232017+00:00
312381316,B.P.M Engineering Limited,Improvement Notice,23/03/2022,Swansea UA,MF FABRICATED METAL PROD NEC,2022-05-05 10:43:11.232017+00:00
312381331,B.P.M Engineering Limited,Improvement Notice,23/03/2022,Swansea UA,MF FABRICATED METAL PROD NEC,2022-05-05 10:43:11.232017+00:00
312381350,B.P.M Engineering Limited,Improvement Notice,23/03/2022,Swansea UA,MF FABRICATED METAL PROD NEC,,,2022-05-05 10:43:11.781805+00:00
312380414,Morgan Construction Wales Limited,Improvement Notice,22/03/2022,Carmarthenshire UA,CONSTRUCTION OF BUILDINGS,,,2022-05-05 10:43:11.781805+00:00
312422581,Industrial Steel Suppliers Limited,Prohibition Notice Immediate,21/03/2022,Flintshire UA,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 10:43:11.781805+00:00
312422610,Industrial Steel Suppliers Limited,Prohibition Notice Immediate,21/03/2022,Flintshire UA,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 10:43:11.781805+00:00
312422650,Industrial Steel Suppliers Limited,Prohibition Notice Immediate,21/03/2022,Flintshire UA,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 10:43:11.781805+00:00
312422670,Industrial Steel Suppliers Limited,Prohibition Notice Immediate,21/03/2022,Flintshire UA,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 10:43:11.781805+00:00
312387936,Landscapes For Learning Limited,Improvement Notice,18/03/2022,Caerphilly UA,JOINERY INSTALLATION,,,2022-05-05 10:43:11.781805+00:00
312375998,Roberts Homes Ltd,Improvement Notice,17/03/2022,Denbighshire UA,CONSTRUCTION OF BUILDINGS,,,2022-05-05 10:43:11.781805+00:00
312353528,Fabwell Engineering Services Limited,Improvement Notice,15/03/2022,Wrexham UA,MF FABRICATED METAL PROD NEC,,,2022-05-05 10:43:11.781805+00:00
312353588,Fabwell Engineering Services Limited,Improvement Notice,15/03/2022,Wrexham UA,MF FABRICATED METAL PROD NEC,,,2022-05-05 10:43:11.781805+00:00
